2017-06-27 07:47:02,291 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@5e3a8624: startup date [Tue Jun 27 07:47:02 UTC 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2017-06-27 07:47:03,638 | INFO  | PListStore:[/home/ubuntu/apache-activemq-5.8.0/cluster/broker-3/data/broker-3/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2017-06-27 07:47:03,678 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/home/ubuntu/apache-activemq-5.8.0/cluster/broker-3/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2017-06-27 07:47:04,472 | INFO  | KahaDB is version 4 | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-06-27 07:47:04,504 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-06-27 07:47:04,506 | INFO  | Recovery replayed 2 operations from the journal in 0.019 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2017-06-27 07:47:04,665 | INFO  | Apache ActiveMQ 5.8.0 (broker-3, ID:ip-172-31-1-69-41174-1498549624540-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2017-06-27 07:47:04,698 | INFO  | Listening for connections at: tcp://ip-172-31-1-69:61636?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-06-27 07:47:04,699 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2017-06-27 07:47:04,702 | INFO  | Listening for connections at: amqp://ip-172-31-1-69:5692?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-06-27 07:47:04,706 | INFO  | Connector amqp Started | org.apache.activemq.broker.TransportConnector | main
2017-06-27 07:47:04,707 | INFO  | Apache ActiveMQ 5.8.0 (broker-3, ID:ip-172-31-1-69-41174-1498549624540-0:1) started | org.apache.activemq.broker.BrokerService | main
2017-06-27 07:47:04,708 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2017-06-27 07:47:04,708 | WARN  | Store limit is 102400 mb, whilst the data directory: /home/ubuntu/apache-activemq-5.8.0/cluster/broker-3/data/kahadb only has 6426 mb of usable space | org.apache.activemq.broker.BrokerService | main
2017-06-27 07:47:04,708 | ERROR | Temporary Store limit is 51200 mb, whilst the temporary data directory: /home/ubuntu/apache-activemq-5.8.0/cluster/broker-3/data/broker-3/tmp_storage only has 6426 mb of usable space | org.apache.activemq.broker.BrokerService | main
2017-06-27 07:47:05,462 | INFO  | Web console type: embedded | org.apache.activemq.web.WebConsoleStarter | main
2017-06-27 07:47:05,698 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2017-06-27 07:47:05,792 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2017-06-27 07:47:06,255 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2017-06-27 07:50:47,807 | WARN  | Transport Connection to: tcp://127.0.0.1:42600 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:42600@61636
2017-06-27 07:50:47,817 | WARN  | Transport Connection to: tcp://127.0.0.1:42598 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:42598@61636
2017-06-27 07:51:10,788 | INFO  | Apache ActiveMQ 5.8.0 (broker-3, ID:ip-172-31-1-69-41174-1498549624540-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2017-06-27 07:51:12,196 | INFO  | Connector openwire Stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2017-06-27 07:51:12,983 | INFO  | Connector amqp Stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2017-06-27 07:51:12,989 | INFO  | PListStore:[/home/ubuntu/apache-activemq-5.8.0/cluster/broker-3/data/broker-3/tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | ActiveMQ ShutdownHook
2017-06-27 07:51:12,989 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2017-06-27 07:51:12,989 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
